title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,recipe_urls
Best ever macaroni cheese recipe,Easy,Serves 4,Visit us on Facebook,332 ratings,True,False,False,False,False,Prep:10 mins,,"[' cut into small chunks', '2 tbsp butter, plus 1 tbsp melted', '350g spiral or other short pasta', '1 garlic clove, finely chopped', '1 tsp English mustard powder', '3 tbsp plain flour', '500ml whole milk', '250g vegetarian mature cheddar, grated ', '50g parmesan (or vegetarian alternative), grated ']","https://images.immediate.co.uk/production/volatile/sites/30/2010/06/macaroni-cheese-3560f76.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/best-ever-macaroni-cheese-recipe
Classic waffles,Easy,Makes 4-6 (depending on your waffle maker),Visit us on Facebook,68 ratings,True,False,False,False,False,Prep:5 mins,,"['1 egg', '225g self-raising flour', '1 tbsp golden caster sugar (optional)', '250ml milk', '50g butter, melted and cooled ', '½ tsp vanilla extract (optional)', 'sunflower or vegetable oil', 'maple syrup and icing sugar, to serve (optional)']","https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Classic-Waffles-0ae28b2.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/classic-waffles
Hainanese chicken rice,Easy,Serves 2 - 4,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:40 mins,,"['1 whole chicken, around 1.2kg, or thighs for quicker cooking', '4 garlic cloves, crushed or minced', '150g piece  of fresh ginger, sliced', '1 ½  spring onions, sliced', '½ tsp ground turmeric', '210g rice, washed', 'coriander', 'cucumber', 'thumb sized piece of  ginger, finely chopped or finely grated', '1 spring onion, thinly sliced', '1 garlic clove, minced', 'pinch of  sugar', 'chicken bouillon powder ', 'vegetable oil', '2 red chillies, chopped', '1 garlic clove, minced or crushed', '1 tsp  fish sauce  (optional)', '1 tsp  light soy sauce', 'vinegar', ', prepared from the whole chicken']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/HainaneseChickenRice-198559a.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/hainanese-chicken-rice
Orange chicken,Easy,Serves 4,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:25 mins,,"['1 egg, beaten', '2 skinless chicken breasts', 'ground white pepper ', '6 heaped tbsp  self-raising flour ', 'cornflour ', 'vegetable oil', '1 orange , sliced then quartered or halved', 'shredded iceberg lettuce, steamed basmati rice and finely chopped spring onions, to serve', 'cornflour ', 'double-strength orange cordial']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/TakeawayOrangeChicken-9d84081.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/orange-chicken
Korean corndogs,Easy,Makes 4 ,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:25 mins,,"['cornmeal', '185g plain flour, plus 2 tbsp ', '6½ tbsp  caster sugar', '2 tsp  baking powder', '250ml milk', 'hot dogs', ', for deep-frying', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/KoreanCorndog-63c63dc.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/korean-corndogs
Korean BBQ sauce,Easy,Makes about 400ml,Visit us on Facebook,1 rating,True,True,True,False,False,Prep:15 mins,,"['vegetable oil', '1 tbsp grated garlic', 'passata', '125g dark brown soft sugar ', 'apple cider vinegar', '2 tbsp  soy sauce', '1½ tsp  gochujang ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/KoreanBBQSauce-74f1029.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/korean-bbq-sauce
Kimchi jjigae,Easy,Serves 2,Visit us on Instagram,0 reviews,False,False,True,False,False,Prep:20 mins,,"['400g mature kimchi', 'vegetable oil', '¼ small  brown onion, finely sliced ', '200g  pork belly, finely sliced', 'gochugaru ', '1 tsp  caster sugar', '150g firm tofu, drained ', '2 spring onions, finely chopped']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/KimchiJjigaeKoreanKimchiStew-0c3995f.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/kimchi-jjigae
Hwachae (Korean watermelon punch),Easy,Serves 4 / makes 2 litres,Visit us on Instagram,0 reviews,True,True,True,False,True,Prep:15 mins,,"['1 watermelon, approximately 3.5kg', 'lemonade', '1 apple, cored and cut into 1cm cubes', 'frozen blueberries']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/HwachaeKoreanWatermelonPunch-a6b7c6e.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/hwachae-korean-watermelon-punch
Gobi manchurian,Easy,Serves 4,Visit us on Facebook,1 rating,True,True,True,False,False,Prep:25 mins,,"['1 cauliflower, cut into florets', ', for frying', '2 garlic cloves, chopped', '1 green chilli, chopped', '1 red onion, diced ', '2 spring onions, finely sliced, plus extra to serve', '½ red pepper, diced ', '½ green pepper, diced', 'ketchup', 'chilli sauce', '2 tbsp  soy sauce', 'rice vinegar', '1 tbsp  chilli flakes', 'ground black pepper', '100g plain flour ', 'cornflour', '1 tsp  chilli powder', '1 tsp  Kashmiri chilli powder']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/GobiManchurian-ad8498d.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/gobi-manchurian
Dum aloo,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:25 mins,,"['500g baby potatoes, peeled', '2 tbsp  vegetable or sunflower oil', '1 onion, finely chopped', 'cardamom pods', 'bay leaves', '2 cinnamon sticks', '½ tsp  cumin seeds', 'kalonji seeds', '1 medium  tomato, chopped', 'ginger and garlic paste', '1 tsp  fenugreek ', '1 tsp  chilli powder', '½ tsp  turmeric', 'ground coriander', '1 tsp  cumin', '1 tbsp  gram flour (chickpea flour)', 'Greek yogurt', ', to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2024/09/DumAloo-46e8044.jpg?quality=90&resize=556,505",https://www.bbcgoodfood.com/recipes/dum-aloo
