title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,picture_url,methods,recipe_urls
"Brie, apple & onion tart",Easy,Serves 8 - 12,Visit us on Facebook,21 ratings,True,False,False,False,False,Prep:20 mins,,"['pack ready-rolled all-butter puff pastry', '1 tbsp olive or rapeseed oil, plus a drizzle', '3 large onions, halved and sliced', 'white wine vinegar', '1 tbsp Dijon mustard', 'small bunch of thyme, leaves picked, plus a few sprigs to serve', '1 apple', 'cranberry sauce', 'brie']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/brie-apple-onion-tart-9ff84b4.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/brie-apple-onion-tart
"Roast potato, turkey, sausage & stuffing pie",Easy,Serves 6,Visit us on Facebook,20 ratings,False,False,False,False,False,Prep:10 mins,,"['1 tbsp olive oil or rapeseed oil', 'knob of butter', '1 large onion, halved and sliced', 'sausages', '2 tsp English mustard powder', '50g plain flour', 'chicken stock cube', 'white wine', 'chicken stock', 'stuffing', '300g cooked turkey, shredded', '1 tbsp wholegrain mustard', '100g low-fat crème fraîche', 'small bunch of  parsley, chopped', 'leftover roast potatoes', '20g mature cheddar, grated']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/parsnip-bake-4e44ae2.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/roast-potato-turkey-sausage-stuffing-pie
Ham & cheese croissants,Easy,Serves 2,Visit us on Instagram,0 reviews,False,False,False,False,False,Prep:5 mins,,"['croissants', 'chutney of your choice (optional)', 'thinly sliced or shredded ham', '50g gruyère, thinly sliced or grated, plus extra grated cheese for the tops', 'wholegrain or Dijon mustard, for spreading']","https://images.immediate.co.uk/production/volatile/sites/30/2023/09/Ham-and-cheese-croissant-449b9ce.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/ham-cheese-croissants
Bubble & squeak Boxing Day brunch,Easy,Serves 2,Visit us on Facebook,2 ratings,True,True,False,False,True,Prep:10 mins,,"['paprika roasties', 'coriander seed cabbage', '1 tsp cumin seeds', '1 garlic clove, crushed', '3 tbsp olive oil', '½ lemon, juiced', '1 avocado, sliced', 'chilli flakes, to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bubble-squeak-brunch-605142d.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/bubble-squeak-brunch
Cheeseboard mac ’n’ cheese with cracker breadcrumbs,Easy,Serves 6,Visit us on Pinterest,2 ratings,False,False,False,False,False,Prep:15 mins,,"['spirali pasta', '25g butter', '1 garlic clove, crushed', '25g plain flour', '450ml whole milk', '1 tbsp Dijon mustard', 'brie,', 'leftover cheeseboard crackers', '50g parmesan or vegetarian alternative', '5g fresh thyme leaves']","https://images.immediate.co.uk/production/volatile/sites/30/2023/11/Mac-n-cheese-50e5b89.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/cheeseboard-mac-n-cheese-with-cracker-breadcrumbs
"Orange, fennel & wild rice salad",Easy,Serves 8 - 12,Visit us on Facebook,2 ratings,True,False,False,False,True,Prep:45 mins,,"['500g carrots (we used purple and orange), peeled, halved and cut into short batons', '1 tbsp olive oil', '100g mixed basmati & wild rice', '75g puy lentils', '3 oranges', 'large fennel bulb, quartered, core removed, thinly sliced', '1 red onion, halved and thinly sliced', 'seedless red grapes', '100g pecans, chopped', 'large handful of  parsley, chopped', 'large handful of mint, chopped', '2 tbsp Dijon mustard', '1 lemon, zested and juiced', '4 tbsp olive oil', '1 tbsp maple syrup']","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/orange-fennel-wild-rice-salad-f12b3b3.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/orange-fennel-wild-rice-salad
Stollen bites,More effort,Makes 25-36 ,Visit us on Pinterest,5 ratings,True,False,False,False,False,Prep:45 mins,,"['sultanas', '300g plain flour, plus extra for dusting', '7g sachet fast-action dried yeast', '1 tbsp caster sugar', 'ground cardamom', '¼ tsp ground nutmeg', '¼ tsp ground cinnamon', '150ml whole milk', '2 tsp vanilla extract', '1 medium egg', '1 lemon, zested', 'glacé cherries,', ' for proving', '250g marzipan', '100g icing sugar, plus extra for dusting', '75g unsalted butter']","https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Stollen-bites-7d606aa.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/stollen-bites
Sumac turkey-stuffed pittas,Easy,Serves 2,Visit us on Facebook,9 ratings,False,False,False,False,False,Prep:15 mins,,"['turkey mince', '1 tsp sumac', '1 tsp ground cumin', '1 garlic clove, crushed', '1 lemon, zested and juiced', '1 tbsp olive oil', '¼ white cabbage, finely sliced', 'small bunch of mint, leaves picked and chopped', '½ red onion, finely sliced', 'cucumber,', '3 tbsp pomegranate seeds', 'large pittas,', ' to serve']","https://images.immediate.co.uk/production/volatile/sites/30/2023/03/Sumac-turkey-stuffed-pittas-73482d5.jpg?quality=90&resize=556,505",[],https://www.bbcgoodfood.com/recipes/sumac-turkey-stuffed-pittas
Red cabbage wedges,Easy,Serves 4,Visit us on Instagram,0 reviews,True,False,False,False,True,Prep:10 mins,,"['1 small  red cabbage, any bruised leaves removed ', 'vegetable oil ', 'cranberry sauce ', 'red wine vinegar ', '2 tsp thyme leaves ']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Red-cabbage-wedges-846aae1.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/red-cabbage-wedges
Chestnut & apricot festive stuffing,Easy,,Visit us on Instagram,0 reviews,True,False,False,False,False,Prep:15 mins,,"[', for air frying ', 'handful of  sage, finely chopped', 'handful of  thyme, leaves picked', 'sausagemeat ', 'soft white breadcrumbs', 'sherry', '100g chopped dried apricots ', '150g cooked chestnuts  (from a pouch), chopped ', '2 tbsp caramelised red onion chutney', 'grating of nutmeg ', 'mixed spice']","https://images.immediate.co.uk/production/volatile/sites/30/2024/10/Chestnut-and-apricot-festive-stuffing-77312a8.jpg?quality=90&resize=440,400",[],https://www.bbcgoodfood.com/recipes/chestnut-apricot-festive-stuffing
